id_x,estudiante_id,materia,nota,fecha,id_y,nombre,rol,correo,edad,genero
0,1,matemáticas,3.5,2023-05-10,1,María**,Alumno, maria1@mail.com,22,F
1,2,lenguaaa,3.0,2023-05-10,2,@Pedro#,profesor, pedro2@mail.com,45,M
2,3,historia,5.0,2025-09-27,3,Lu^is,alumno,lu3@mail.com,21,M
3,4,ciencias,3.4105263157894736,2023-03-15,4,ANA,PROFE, ana4@mail.com,50,F
4,5,ingles,2.8,2023-11-20,5,nan,Estudiante,,19,na
5,6,ingles,4.5,2023-07-15,6,Laura,estudiante, laura6@mail.com,20,F
6,7,lenguua,1.0,2023-09-12,7,Miguél*,Profesor, miguel7@mail.com,47,M
7,8,matematicas,3.4105263157894736,2023-02-18,8,CARLOS,profe, carlos8@mail.com,52,M
8,9,ciencias,5.0,2023-04-25,9,,ESTUDIANTE, juan9@mail.com,19,na
9,10,historia,3.4105263157894736,2023-08-05,10,Luisa,estudiante, luisa10@mail.com,22,F
10,11,lengua,3.2,2025-09-27,11,Miguel,Profesor, ,44,M
11,12,matematicas,3.4105263157894736,2023-01-30,12,Ana^^,alumno, ana12@mail.com,23,F
12,13,historia,5.0,2023-06-12,13,@Laura,PROFE, laura13@mail.com,48,F
13,14,ingles,5.0,2023-11-20,14,Pedro,ESTUDIANTE, pedro14@mail.com,20,M
14,15,ciencias,2.7,2023-12-01,15,nan,alumno, pedro15@mail.com,21,na
15,16,lengua,4.0,2023-09-10,16,Juan##,profesor, juan16@mail.com,46,M
16,17,matematicas,3.0,2023-07-15,17,MIGUEL,Estudiante, miguel17@mail.com,19,M
17,18,historia,3.0,2023-03-12,18,,alumno, ,20,na
18,19,ciencias,2.9,2025-09-27,19,María,PROFE, maria19@mail.com,51,F
19,20,ingles,3.4105263157894736,2023-05-08,20,Pedro,ESTUDIANTE, pedro20@mail.com,20,M
20,21,lengua,5.0,2023-01-14,21,Luisa,Alumno, luisa21@mail.com,22,F
21,22,matemáticas,2.3,2023-06-19,22,ANA@,profesor, ana22@mail.com,43,F
22,23,ingles,1.0,2023-11-27,23,MIGUEL,PROFE, ,49,M
23,24,ciencias,3.4,2023-10-10,24,Laura**,estudiante, laura24@mail.com,21,F
24,25,historia,3.4105263157894736,2023-04-09,25,,alumno, juan25@mail.com,22,na
25,26,matematicas,5.0,2023-02-17,26,Carlos^^,Profesor, carlos26@mail.com,55,M
26,27,ingles,3.0,2023-03-12,27,Ana##,estudiante, ,20,F
27,28,lengua,3.4105263157894736,2023-08-30,28,PEDRO,PROFE, pedro28@mail.com,53,M
28,29,ciencias,2.0,2023-09-21,29,MARÍA,alumno, maria29@mail.com,21,F
29,30,historia,3.0,2023-07-14,30,,Estudiante, ,19,na
30,31,matemáticas,4.0,2025-09-27,31,Luisa@@,PROFE, luisa31@mail.com,47,F
31,32,lenguua,5.0,2023-06-11,32,Miguel**,Alumno, ,22,M
