id,nombre,rol,correo,edad,genero
0,Juan,ESTUDIANTE, juan0@mail.com,20,M
1,María**,Alumno, maria1@mail.com,22,F
2,@Pedro#,profesor, pedro2@mail.com,45,M
3,Lu^is,alumno,lu3@mail.com,21,M
4,ANA,PROFE, ana4@mail.com,50,F
5,nan,Estudiante,,19,na
6,Laura,estudiante, laura6@mail.com,20,F
7,Miguél*,Profesor, miguel7@mail.com,47,M
8,CARLOS,profe, carlos8@mail.com,52,M
9,,ESTUDIANTE, juan9@mail.com,19,na
10,Luisa,estudiante, luisa10@mail.com,22,F
11,Miguel,Profesor, ,44,M
12,Ana^^,alumno, ana12@mail.com,23,F
13,@Laura,PROFE, laura13@mail.com,48,F
14,Pedro,ESTUDIANTE, pedro14@mail.com,20,M
15,nan,alumno, pedro15@mail.com,21,na
16,Juan##,profesor, juan16@mail.com,46,M
17,MIGUEL,Estudiante, miguel17@mail.com,19,M
18,,alumno, ,20,na
19,María,PROFE, maria19@mail.com,51,F
20,Pedro,ESTUDIANTE, pedro20@mail.com,20,M
21,Luisa,Alumno, luisa21@mail.com,22,F
22,ANA@,profesor, ana22@mail.com,43,F
23,MIGUEL,PROFE, ,49,M
24,Laura**,estudiante, laura24@mail.com,21,F
25,,alumno, juan25@mail.com,22,na
26,Carlos^^,Profesor, carlos26@mail.com,55,M
27,Ana##,estudiante, ,20,F
28,PEDRO,PROFE, pedro28@mail.com,53,M
29,MARÍA,alumno, maria29@mail.com,21,F
30,,Estudiante, ,19,na
31,Luisa@@,PROFE, luisa31@mail.com,47,F
32,Miguel**,Alumno, ,22,M
33,,Profesor, juan33@mail.com,50,na
34,Laura,estudiante, ,20,F
35,Juan@@,alumno, juan35@mail.com,23,M
36,Carlos,PROFE, carlos36@mail.com,54,M
37,Ana**,estudiante, ana37@mail.com,22,F
38,PEDRO,Profesor, pedro38@mail.com,46,M
39,,Alumno, ,21,na
40,MIGUEL,estudiante, miguel40@mail.com,19,M
41,Luisa,PROFE, ,48,F
42,Laura,alumno, laura42@mail.com,22,F
43,Juan##,Estudiante, juan43@mail.com,20,M
44,,PROFE, ,49,na
45,Ana,Alumno, ana45@mail.com,21,F
46,PEDRO**,Profesor, ,56,M
47,MIGUEL,Estudiante, ,20,M
48,Laura##,alumno, laura48@mail.com,22,F
49,,PROFE, ,51,na
50,Carlos,Alumno, carlos50@mail.com,23,M
51,ANA@@,profesor, ,44,F
52,Juan,PROFE, juan52@mail.com,55,M
53,Luisa**,estudiante, ,21,F
54,PEDRO,Alumno, pedro54@mail.com,22,M
55,MIGUEL##,Profesor, ,53,M
56,,Estudiante, ,19,na
57,Laura@@,Alumno, ,20,F
58,Juan**,profesor, juan58@mail.com,47,M
59,ANA,PROFE, ,52,F
60,,Alumno, ,21,na
61,PEDRO,Estudiante, ,20,M
62,MIGUEL,Profesor, ,48,M
63,Laura,Alumno, ,23,F
64,Carlos**,Estudiante, ,20,M
65,Ana##,Profesor, ,45,F
66,Juan,Alumno, ,22,M
67,MIGUEL,PROFE, ,50,M
68,Laura**,estudiante, ,21,F
69,PEDRO,alumno, ,20,M
70,,Profesor, ,54,na
71,Carlos,Alumno, ,23,M
72,ANA**,Estudiante, ,19,F
73,Luisa,PROFE, ,48,F
74,MIGUEL,alumno, ,21,M
75,Laura##,Estudiante, ,22,F
76,PEDRO**,PROFE, ,53,M
77,Juan,Alumno, ,21,M
78,,Profesor, ,49,na
79,ANA,Estudiante, ,20,F
80,Carlos**,PROFE, ,52,M
81,MIGUEL##,Alumno, ,22,M
82,Laura,Estudiante, ,21,F
83,PEDRO,Profesor, ,47,M
84,Luisa**,Alumno, ,23,F
85,,Estudiante, ,20,na
86,Juan,Alumno, ,22,M
87,MIGUEL,PROFE, ,51,M
88,Ana**,Estudiante, ,19,F
89,PEDRO##,Alumno, ,23,M
90,,Profesor, ,55,na
91,MIGUEL,Alumno, ,22,M
92,Laura**,Estudiante, ,20,F
93,Carlos,Alumno, ,23,M
94,,Profesor, ,49,na
95,Juan**,Alumno, ,22,M
96,PEDRO,Estudiante, ,20,M
97,Luisa,Alumno, ,23,F
98,MIGUEL**,Profesor, ,52,M
99,Laura,Alumno, ,21,F
100,Ana**,Estudiante, ,20,F
101,,Profesor, ,54,na
102,Carlos##,Alumno, ,22,M
103,PEDRO**,Estudiante, ,21,M
104,MIGUEL,Alumno, ,23,M
105,Laura**,Profesor, ,50,F
106,,Estudiante, ,19,na
107,Juan**,Alumno, ,22,M
108,MIGUEL,Profesor, ,48,M
109,Luisa**,Alumno, ,23,F
110,Ana**,Estudiante, ,21,F
111,,Profesor, ,53,na
112,Carlos**,Alumno, ,22,M
113,PEDRO,Estudiante, ,20,M
114,MIGUEL##,Alumno, ,21,M
115,Laura**,Profesor, ,49,F
116,,Estudiante, ,19,na
117,Juan**,Alumno, ,22,M
118,MIGUEL,Profesor, ,52,M
119,Luisa**,Alumno, ,21,F
